Category Name,URL,Level
Animals & Pet Supplies,https://www.fruugo.co.uk/animals-pet-supplies/a-1,Level 1
Pet Supplies,https://www.fruugo.co.uk/pet-supplies/a-2,Level 2
Bird Supplies,https://www.fruugo.co.uk/bird-supplies/a-3,Level 3
Bird Cages & Stands,https://www.fruugo.co.uk/bird-cages-stands/a-4989,Level 4
Bird Food,https://www.fruugo.co.uk/bird-food/a-4990,Level 4
Bird Ladders & Perches,https://www.fruugo.co.uk/bird-ladders-perches/a-4991,Level 4
Bird Toys,https://www.fruugo.co.uk/bird-toys/a-4992,Level 4
Bird Treats,https://www.fruugo.co.uk/bird-treats/a-4993,Level 4
Bird Cage Accessories,https://www.fruugo.co.uk/bird-cage-accessories/a-7385,Level 4
Bird Cage Bird Baths,https://www.fruugo.co.uk/bird-cage-bird-baths/a-499954,Level 5
Bird Cage Food & Water Dishes,https://www.fruugo.co.uk/bird-cage-food-water-dishes/a-7386,Level 5
Bird Gyms & Playstands,https://www.fruugo.co.uk/bird-gyms-playstands/a-7398,Level 4
Cat Supplies,https://www.fruugo.co.uk/cat-supplies/a-4,Level 3
Cat Food,https://www.fruugo.co.uk/cat-food/a-3367,Level 4
Cat Beds,https://www.fruugo.co.uk/cat-beds/a-4433,Level 4
Cat Furniture,https://www.fruugo.co.uk/cat-furniture/a-4997,Level 4
Cat Litter,https://www.fruugo.co.uk/cat-litter/a-4999,Level 4
Cat Litter Boxes,https://www.fruugo.co.uk/cat-litter-boxes/a-5000,Level 4
Cat Furniture Accessories,https://www.fruugo.co.uk/cat-furniture-accessories/a-500059,Level 4
Cat Toys,https://www.fruugo.co.uk/cat-toys/a-5001,Level 4
Cat Treats,https://www.fruugo.co.uk/cat-treats/a-5002,Level 4
Cat Apparel,https://www.fruugo.co.uk/cat-apparel/a-5082,Level 4
Cat Litter Box Mats,https://www.fruugo.co.uk/cat-litter-box-mats/a-7142,Level 4
Cat Litter Box Liners,https://www.fruugo.co.uk/cat-litter-box-liners/a-8069,Level 4
Pet Doors,https://www.fruugo.co.uk/pet-doors/a-4497,Level 3
Pet Heating Pads,https://www.fruugo.co.uk/pet-heating-pads/a-499743,Level 3
Dog Supplies,https://www.fruugo.co.uk/dog-supplies/a-5,Level 3
Dog Food,https://www.fruugo.co.uk/dog-food/a-3530,Level 4
Dog Beds,https://www.fruugo.co.uk/dog-beds/a-4434,Level 4
Dog Diapers,https://www.fruugo.co.uk/dog-diapers/a-499900,Level 4
Dog Apparel,https://www.fruugo.co.uk/dog-apparel/a-5004,Level 4
Dog Toys,https://www.fruugo.co.uk/dog-toys/a-5010,Level 4
Dog Treats,https://www.fruugo.co.uk/dog-treats/a-5011,Level 4
Dog Houses,https://www.fruugo.co.uk/dog-houses/a-5094,Level 4
Dog Kennels & Runs,https://www.fruugo.co.uk/dog-kennels-runs/a-7274,Level 4
Dog Diaper Pads & Liners,https://www.fruugo.co.uk/dog-diaper-pads-liners/a-7372,Level 4
Dog Kennel & Run Accessories,https://www.fruugo.co.uk/dog-kennel-run-accessories/a-7428,Level 4
Dog Treadmills,https://www.fruugo.co.uk/dog-treadmills/a-8123,Level 4
Pet Carrier & Crate Accessories,https://www.fruugo.co.uk/pet-carrier-crate-accessories/a-500026,Level 3
Pet Bed Accessories,https://www.fruugo.co.uk/pet-bed-accessories/a-500084,Level 3
Pet Heating Pad Accessories,https://www.fruugo.co.uk/pet-heating-pad-accessories/a-500110,Level 3
Small Animal Supplies,https://www.fruugo.co.uk/small-animal-supplies/a-5013,Level 3
Small Animal Bedding,https://www.fruugo.co.uk/small-animal-bedding/a-5014,Level 4
Small Animal Food,https://www.fruugo.co.uk/small-animal-food/a-5015,Level 4
Small Animal Habitat Accessories,https://www.fruugo.co.uk/small-animal-habitat-accessories/a-5016,Level 4
Small Animal Habitats & Cages,https://www.fruugo.co.uk/small-animal-habitats-cages/a-5017,Level 4
Small Animal Treats,https://www.fruugo.co.uk/small-animal-treats/a-7517,Level 4
Pet Waste Bag Dispensers & Holders,https://www.fruugo.co.uk/pet-waste-bag-dispensers-holders/a-502982,Level 3
Pet Waste Disposal Systems & Tools,https://www.fruugo.co.uk/pet-waste-disposal-systems-tools/a-505297,Level 3
Pet Training Aids,https://www.fruugo.co.uk/pet-training-aids/a-505314,Level 3
Pet Training Pad Holders,https://www.fruugo.co.uk/pet-training-pad-holders/a-505304,Level 4
Pet Training Sprays & Solutions,https://www.fruugo.co.uk/pet-training-sprays-solutions/a-505311,Level 4
Pet Training Clickers & Treat Dispensers,https://www.fruugo.co.uk/pet-training-clickers-treat-dispensers/a-505313,Level 4
Pet Training Pads,https://www.fruugo.co.uk/pet-training-pads/a-6846,Level 4
Pet Door Accessories,https://www.fruugo.co.uk/pet-door-accessories/a-505811,Level 3
Pet Vitamins & Supplements,https://www.fruugo.co.uk/pet-vitamins-supplements/a-5081,Level 3
Pet Medicine,https://www.fruugo.co.uk/pet-medicine/a-5086,Level 3
Pet Playpens,https://www.fruugo.co.uk/pet-playpens/a-5087,Level 3
Pet Bells & Charms,https://www.fruugo.co.uk/pet-bells-charms/a-5092,Level 3
Pet ID Tags,https://www.fruugo.co.uk/pet-id-tags/a-5093,Level 3
Pet Muzzles,https://www.fruugo.co.uk/pet-muzzles/a-5144,Level 3
Pet Medical Collars,https://www.fruugo.co.uk/pet-medical-collars/a-5145,Level 3
Pet Food Containers,https://www.fruugo.co.uk/pet-food-containers/a-5162,Level 3
Pet Food Scoops,https://www.fruugo.co.uk/pet-food-scoops/a-5163,Level 3
Fish Supplies,https://www.fruugo.co.uk/fish-supplies/a-6,Level 3
Aquariums,https://www.fruugo.co.uk/aquariums/a-3238,Level 4
Aquarium Cleaning Supplies,https://www.fruugo.co.uk/aquarium-cleaning-supplies/a-500038,Level 4
Aquarium Temperature Controllers,https://www.fruugo.co.uk/aquarium-temperature-controllers/a-500062,Level 4
Aquarium Decor,https://www.fruugo.co.uk/aquarium-decor/a-5019,Level 4
Aquarium Filters,https://www.fruugo.co.uk/aquarium-filters/a-5020,Level 4
Aquarium Gravel & Substrates,https://www.fruugo.co.uk/aquarium-gravel-substrates/a-5021,Level 4
Aquarium Stands,https://www.fruugo.co.uk/aquarium-stands/a-5023,Level 4
Fish Food,https://www.fruugo.co.uk/fish-food/a-5024,Level 4
Aquarium & Pond Tubing,https://www.fruugo.co.uk/aquarium-pond-tubing/a-505303,Level 4
Aquarium Fish Nets,https://www.fruugo.co.uk/aquarium-fish-nets/a-505306,Level 4
Aquarium Air Stones & Diffusers,https://www.fruugo.co.uk/aquarium-air-stones-diffusers/a-505307,Level 4
Aquarium Lighting,https://www.fruugo.co.uk/aquarium-lighting/a-5079,Level 4
Aquarium Water Treatments,https://www.fruugo.co.uk/aquarium-water-treatments/a-5161,Level 4
Aquatic Plant Fertilizers,https://www.fruugo.co.uk/aquatic-plant-fertilizers/a-6085,Level 4
Fish Feeders,https://www.fruugo.co.uk/fish-feeders/a-6403,Level 4
Aquarium Overflow Boxes,https://www.fruugo.co.uk/aquarium-overflow-boxes/a-6951,Level 4
Pet Flea & Tick Control,https://www.fruugo.co.uk/pet-flea-tick-control/a-6248,Level 3
Pet Leashes,https://www.fruugo.co.uk/pet-leashes/a-6249,Level 3
Pet Collars & Harnesses,https://www.fruugo.co.uk/pet-collars-harnesses/a-6250,Level 3
Pet Carriers & Crates,https://www.fruugo.co.uk/pet-carriers-crates/a-6251,Level 3
"Pet Bowls, Feeders & Waterers",https://www.fruugo.co.uk/pet-bowls-feeders-waterers/a-6252,Level 3
Pet Leash Extensions,https://www.fruugo.co.uk/pet-leash-extensions/a-6253,Level 3
Pet Strollers,https://www.fruugo.co.uk/pet-strollers/a-6276,Level 3
Pet Containment Systems,https://www.fruugo.co.uk/pet-containment-systems/a-6321,Level 3
Pet Grooming Supplies,https://www.fruugo.co.uk/pet-grooming-supplies/a-6383,Level 3
Pet Wipes,https://www.fruugo.co.uk/pet-wipes/a-499917,Level 4
Pet Fragrances & Deodorizing Sprays,https://www.fruugo.co.uk/pet-fragrances-deodorizing-sprays/a-503733,Level 4
Pet Hair Clippers & Trimmers,https://www.fruugo.co.uk/pet-hair-clippers-trimmers/a-6384,Level 4
Pet Combs & Brushes,https://www.fruugo.co.uk/pet-combs-brushes/a-6385,Level 4
Pet Shampoo & Conditioner,https://www.fruugo.co.uk/pet-shampoo-conditioner/a-6406,Level 4
Pet Nail Polish,https://www.fruugo.co.uk/pet-nail-polish/a-7318,Level 4
Pet Nail Tools,https://www.fruugo.co.uk/pet-nail-tools/a-7319,Level 4
Pet Hair Dryers,https://www.fruugo.co.uk/pet-hair-dryers/a-8167,Level 4
Pet Apparel Hangers,https://www.fruugo.co.uk/pet-apparel-hangers/a-6811,Level 3
Pet Medical Tape & Bandages,https://www.fruugo.co.uk/pet-medical-tape-bandages/a-6861,Level 3
Pet Steps & Ramps,https://www.fruugo.co.uk/pet-steps-ramps/a-6973,Level 3
Pet Biometric Monitors,https://www.fruugo.co.uk/pet-biometric-monitors/a-6978,Level 3
Pet Glucose Meters,https://www.fruugo.co.uk/pet-glucose-meters/a-6980,Level 4
Pet Thermometers,https://www.fruugo.co.uk/pet-thermometers/a-6981,Level 4
Pet Pedometers,https://www.fruugo.co.uk/pet-pedometers/a-6982,Level 4
Pet Agility Equipment,https://www.fruugo.co.uk/pet-agility-equipment/a-6983,Level 3
Reptile & Amphibian Supplies,https://www.fruugo.co.uk/reptile-amphibian-supplies/a-7,Level 3
Reptile & Amphibian Food,https://www.fruugo.co.uk/reptile-amphibian-food/a-5026,Level 4
Reptile & Amphibian Habitat Accessories,https://www.fruugo.co.uk/reptile-amphibian-habitat-accessories/a-5027,Level 4
Reptile & Amphibian Habitat Heating & Lighting,https://www.fruugo.co.uk/reptile-amphibian-habitat-heating-lighting/a-5028,Level 4
Reptile & Amphibian Habitats,https://www.fruugo.co.uk/reptile-amphibian-habitats/a-5029,Level 4
Reptile & Amphibian Substrates,https://www.fruugo.co.uk/reptile-amphibian-substrates/a-5030,Level 4
Pet Bowl Mats,https://www.fruugo.co.uk/pet-bowl-mats/a-7143,Level 3
Pet Oral Care Supplies,https://www.fruugo.co.uk/pet-oral-care-supplies/a-7144,Level 3
Pet Sunscreen,https://www.fruugo.co.uk/pet-sunscreen/a-7396,Level 3
Pet Eye Drops & Lubricants,https://www.fruugo.co.uk/pet-eye-drops-lubricants/a-8050,Level 3
Pet First Aid & Emergency Kits,https://www.fruugo.co.uk/pet-first-aid-emergency-kits/a-8068,Level 3
Pet Waste Bags,https://www.fruugo.co.uk/pet-waste-bags/a-8070,Level 3
Vehicle Pet Barriers,https://www.fruugo.co.uk/vehicle-pet-barriers/a-8474,Level 3
Pet Bowl Stands,https://www.fruugo.co.uk/pet-bowl-stands/a-8513,Level 3
Live Animals,https://www.fruugo.co.uk/live-animals/a-3237,Level 2
Business & Industrial,https://www.fruugo.co.uk/business-industrial/a-111,Level 1
Agriculture,https://www.fruugo.co.uk/agriculture/a-112,Level 2
Animal Husbandry,https://www.fruugo.co.uk/animal-husbandry/a-6991,Level 3
Livestock Halters,https://www.fruugo.co.uk/livestock-halters/a-499946,Level 4
Egg Incubators,https://www.fruugo.co.uk/egg-incubators/a-499997,Level 4
Livestock Feed,https://www.fruugo.co.uk/livestock-feed/a-505821,Level 4
Livestock Feeders & Waterers,https://www.fruugo.co.uk/livestock-feeders-waterers/a-6990,Level 4
Construction,https://www.fruugo.co.uk/construction/a-114,Level 2
Surveying,https://www.fruugo.co.uk/surveying/a-134,Level 3
Traffic Cones & Barrels,https://www.fruugo.co.uk/traffic-cones-barrels/a-8278,Level 3
Food Service,https://www.fruugo.co.uk/food-service/a-135,Level 2
Vending Machines,https://www.fruugo.co.uk/vending-machines/a-137,Level 3
Food Service Baskets,https://www.fruugo.co.uk/food-service-baskets/a-4096,Level 3
Bus Tubs,https://www.fruugo.co.uk/bus-tubs/a-4217,Level 3
Disposable Tableware,https://www.fruugo.co.uk/disposable-tableware/a-4632,Level 3
Disposable Bowls,https://www.fruugo.co.uk/disposable-bowls/a-5098,Level 4
Disposable Cups,https://www.fruugo.co.uk/disposable-cups/a-5099,Level 4
Disposable Cutlery,https://www.fruugo.co.uk/disposable-cutlery/a-5100,Level 4
Disposable Plates,https://www.fruugo.co.uk/disposable-plates/a-5101,Level 4
Food Service Carts,https://www.fruugo.co.uk/food-service-carts/a-4742,Level 3
Take-Out Containers,https://www.fruugo.co.uk/take-out-containers/a-5097,Level 3
Concession Food Containers,https://www.fruugo.co.uk/concession-food-containers/a-5102,Level 3
Plate & Dish Warmers,https://www.fruugo.co.uk/plate-dish-warmers/a-5104,Level 3
Hot Dog Rollers,https://www.fruugo.co.uk/hot-dog-rollers/a-6517,Level 3
Food Washers & Dryers,https://www.fruugo.co.uk/food-washers-dryers/a-6786,Level 3
Disposable Serveware,https://www.fruugo.co.uk/disposable-serveware/a-7088,Level 3
Disposable Serving Trays,https://www.fruugo.co.uk/disposable-serving-trays/a-7089,Level 4
Bakery Boxes,https://www.fruugo.co.uk/bakery-boxes/a-7303,Level 3
Ice Bins,https://www.fruugo.co.uk/ice-bins/a-7353,Level 3
Tilt Skillets,https://www.fruugo.co.uk/tilt-skillets/a-7553,Level 3
Disposable Lids,https://www.fruugo.co.uk/disposable-lids/a-8059,Level 3
Check Presenters,https://www.fruugo.co.uk/check-presenters/a-8532,Level 3
Sneeze Guards,https://www.fruugo.co.uk/sneeze-guards/a-8533,Level 3
Retail,https://www.fruugo.co.uk/retail/a-138,Level 2
Paper & Plastic Shopping Bags,https://www.fruugo.co.uk/paper-plastic-shopping-bags/a-1837,Level 3
Display Mannequins,https://www.fruugo.co.uk/display-mannequins/a-3803,Level 3
Pricing Guns,https://www.fruugo.co.uk/pricing-guns/a-4127,Level 3
Retail Display Cases,https://www.fruugo.co.uk/retail-display-cases/a-4160,Level 3
Money Handling,https://www.fruugo.co.uk/money-handling/a-4181,Level 3
Money Changers,https://www.fruugo.co.uk/money-changers/a-3273,Level 4
Paper Coin Wrappers & Bill Straps,https://www.fruugo.co.uk/paper-coin-wrappers-bill-straps/a-4055,Level 4
Coin & Bill Counters,https://www.fruugo.co.uk/coin-bill-counters/a-4151,Level 4
Banknote Verifiers,https://www.fruugo.co.uk/banknote-verifiers/a-4290,Level 4
Money Deposit Bags,https://www.fruugo.co.uk/money-deposit-bags/a-4329,Level 4
Cash Registers & POS Terminals,https://www.fruugo.co.uk/cash-registers-pos-terminals/a-505824,Level 4
Cash Register & POS Terminal Accessories,https://www.fruugo.co.uk/cash-register-pos-terminal-accessories/a-505825,Level 4
Cash Drawers & Trays,https://www.fruugo.co.uk/cash-drawers-trays/a-4283,Level 5
Credit Card Terminals,https://www.fruugo.co.uk/credit-card-terminals/a-505808,Level 5
Signature Capture Pads,https://www.fruugo.co.uk/signature-capture-pads/a-5310,Level 5
Clothing Display Racks,https://www.fruugo.co.uk/clothing-display-racks/a-4244,Level 3
Retail Display Props & Models,https://www.fruugo.co.uk/retail-display-props-models/a-499897,Level 3
Mannequin Parts,https://www.fruugo.co.uk/mannequin-parts/a-7128,Level 3
Manufacturing,https://www.fruugo.co.uk/manufacturing/a-1470,Level 2
Hotel & Hospitality,https://www.fruugo.co.uk/hotel-hospitality/a-1475,Level 2
Law Enforcement,https://www.fruugo.co.uk/law-enforcement/a-1556,Level 2
Cuffs,https://www.fruugo.co.uk/cuffs/a-1906,Level 3
Metal Detectors,https://www.fruugo.co.uk/metal-detectors/a-361,Level 3
Science & Laboratory,https://www.fruugo.co.uk/science-laboratory/a-1624,Level 2
Laboratory Chemicals,https://www.fruugo.co.uk/laboratory-chemicals/a-3002,Level 3
Laboratory Supplies,https://www.fruugo.co.uk/laboratory-supplies/a-4255,Level 3
Laboratory Flasks,https://www.fruugo.co.uk/laboratory-flasks/a-4036,Level 4
Graduated Cylinders,https://www.fruugo.co.uk/graduated-cylinders/a-4061,Level 4
Pipettes,https://www.fruugo.co.uk/pipettes/a-4075,Level 4
Wash Bottles,https://www.fruugo.co.uk/wash-bottles/a-4140,Level 4
Test Tube Racks,https://www.fruugo.co.uk/test-tube-racks/a-4155,Level 4
Petri Dishes,https://www.fruugo.co.uk/petri-dishes/a-4276,Level 4
Test Tubes,https://www.fruugo.co.uk/test-tubes/a-4306,Level 4
Beakers,https://www.fruugo.co.uk/beakers/a-4310,Level 4
Laboratory Equipment,https://www.fruugo.co.uk/laboratory-equipment/a-4335,Level 3
Microscopes,https://www.fruugo.co.uk/microscopes/a-158,Level 4
Autoclaves,https://www.fruugo.co.uk/autoclaves/a-4116,Level 4
Laboratory Hot Plates,https://www.fruugo.co.uk/laboratory-hot-plates/a-4133,Level 4
Laboratory Ovens,https://www.fruugo.co.uk/laboratory-ovens/a-4231,Level 4
Centrifuges,https://www.fruugo.co.uk/centrifuges/a-4336,Level 4
Laboratory Blenders,https://www.fruugo.co.uk/laboratory-blenders/a-4474,Level 4
Microscope Accessories,https://www.fruugo.co.uk/microscope-accessories/a-4555,Level 4
Microscope Eyepieces & Adapters,https://www.fruugo.co.uk/microscope-eyepieces-adapters/a-4556,Level 5
Microscope Cameras,https://www.fruugo.co.uk/microscope-cameras/a-4557,Level 5
Microscope Slides,https://www.fruugo.co.uk/microscope-slides/a-4558,Level 5
Microscope Replacement Bulbs,https://www.fruugo.co.uk/microscope-replacement-bulbs/a-4664,Level 5
Microscope Objective Lenses,https://www.fruugo.co.uk/microscope-objective-lenses/a-4665,Level 5
Freeze-Drying Machines,https://www.fruugo.co.uk/freeze-drying-machines/a-500057,Level 4
Laboratory Freezers,https://www.fruugo.co.uk/laboratory-freezers/a-500114,Level 4
Laboratory Funnels,https://www.fruugo.co.uk/laboratory-funnels/a-503722,Level 4
Dry Ice Makers,https://www.fruugo.co.uk/dry-ice-makers/a-7218,Level 4
Spectrometers,https://www.fruugo.co.uk/spectrometers/a-7393,Level 4
